page,spread,chapter,element,severity,defect,proposed_production_repair,structural_freeze_risk,status
171,170-171,16,chapter16_tail_or_backmatter,REVIEW,P2_HIGH_DENSITY;REVIEW_HIGH_DENSITY_TOP20;REVIEW_SHORT_BOTTOM_LINE;REVIEW_SHORT_TOP_LINE,PENDING VISUAL INSPECTION,DO NOT EDIT FROZEN PROSE OR MOVE FIGURE BEFORE ANCHOR,PENDING_VISUAL
172,172-173,16,chapter16_tail_or_backmatter,REVIEW,REVIEW_SHORT_BOTTOM_LINE;REVIEW_SHORT_TOP_LINE,PENDING VISUAL INSPECTION,DO NOT EDIT FROZEN PROSE OR MOVE FIGURE BEFORE ANCHOR,PENDING_VISUAL
173,172-173,16,part_candidate;chapter16_tail_or_backmatter;heading_text_present,REVIEW,REVIEW_SHORT_TOP_LINE,PENDING VISUAL INSPECTION,DO NOT EDIT FROZEN PROSE OR MOVE FIGURE BEFORE ANCHOR,PENDING_VISUAL
174,174-175,16,chapter16_tail_or_backmatter,REVIEW,P2_HIGH_DENSITY;REVIEW_HIGH_DENSITY_TOP20;REVIEW_SHORT_TOP_LINE,PENDING VISUAL INSPECTION,DO NOT EDIT FROZEN PROSE OR MOVE FIGURE BEFORE ANCHOR,PENDING_VISUAL
175,174-175,16,chapter16_tail_or_backmatter,REVIEW,REVIEW_SHORT_TOP_LINE,PENDING VISUAL INSPECTION,DO NOT EDIT FROZEN PROSE OR MOVE FIGURE BEFORE ANCHOR,PENDING_VISUAL
176,176-177,16,chapter16_tail_or_backmatter,REVIEW,P2_HIGH_DENSITY;REVIEW_SHORT_BOTTOM_LINE;REVIEW_SHORT_TOP_LINE,PENDING VISUAL INSPECTION,DO NOT EDIT FROZEN PROSE OR MOVE FIGURE BEFORE ANCHOR,PENDING_VISUAL
177,176-177,16,chapter16_tail_or_backmatter;heading_text_present,REVIEW,P2_HIGH_DENSITY;REVIEW_HIGH_DENSITY_TOP20;REVIEW_SHORT_TOP_LINE,PENDING VISUAL INSPECTION,DO NOT EDIT FROZEN PROSE OR MOVE FIGURE BEFORE ANCHOR,PENDING_VISUAL
178,178-179,16,chapter16_tail_or_backmatter;heading_text_present,REVIEW,REVIEW_SHORT_TOP_LINE,PENDING VISUAL INSPECTION,DO NOT EDIT FROZEN PROSE OR MOVE FIGURE BEFORE ANCHOR,PENDING_VISUAL
179,178-179,16,chapter16_tail_or_backmatter,REVIEW,P2_HIGH_DENSITY;REVIEW_HIGH_DENSITY_TOP20;REVIEW_SHORT_TOP_LINE,PENDING VISUAL INSPECTION,DO NOT EDIT FROZEN PROSE OR MOVE FIGURE BEFORE ANCHOR,PENDING_VISUAL
180,180-181,16,chapter16_tail_or_backmatter,REVIEW,REVIEW_LOW_DENSITY_TOP20;REVIEW_SHORT_TOP_LINE,PENDING VISUAL INSPECTION,DO NOT EDIT FROZEN PROSE OR MOVE FIGURE BEFORE ANCHOR,PENDING_VISUAL
